season,teamId,gameType,teamName,teamCity,teamScore,opponentScore,assists,rebounds,blocks,steals,turnovers,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,plusMinusPoints,foulsPersonal,numMinutes,win,gamesPlayed,teamScoreTotal,opponentScoreTotal,assistsTotal,reboundsTotal,blocksTotal,stealsTotal,turnoversTotal,fieldGoalsPercentage,threePointersPercentage,freeThrowsPercentage,proportionThreePoint,losses,salary
1980,1610612752,Regular Season,Knicks,New York,107.91463414634147,106.29268292682927,,,,,,3505.0,0.0,56.0,0.0,1783.0,2383.0,1.6219512195121952,23.353658536585368,241.82926829268294,50.0,82,8849,8716,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7482165337809484,,32.0,
1980,1610612754,Regular Season,Pacers,Indiana,107.64634146341463,106.2439024390244,,,,,,3491.0,0.0,30.0,0.0,1815.0,2540.0,1.4024390243902438,24.353658536585368,240.609756097561,44.0,82,8827,8712,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7145669291338582,,38.0,
1980,1610612755,Playoffs,76ers,Philadelphia,105.6875,103.0625,,,,,,637.0,0.0,1.0,0.0,394.0,510.0,-0.125,26.25,240.0,9.0,16,1691,1649,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7725490196078432,,7.0,
1980,1610612755,Regular Season,76ers,Philadelphia,111.65853658536585,103.8048780487805,,,,,,3636.0,0.0,19.0,0.0,1865.0,2427.0,7.853658536585366,25.26829268292683,242.1341463414634,62.0,82,9156,8512,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7684384013185002,,20.0,
1980,1610612756,Playoffs,Suns,Phoenix,91.71428571428571,89.0,,,,,,252.0,0.0,6.0,0.0,132.0,192.0,2.7142857142857144,23.857142857142858,240.0,3.0,7,642,623,0.0,0.0,0.0,0.0,0.0,inf,inf,0.6875,,4.0,
1980,1610612756,Regular Season,Suns,Phoenix,109.98780487804878,104.47560975609755,,,,,,3587.0,0.0,35.0,0.0,1810.0,2427.0,5.512195121951219,24.317073170731707,240.91463414634146,57.0,82,9019,8567,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7457766790276061,,25.0,
1980,1610612757,Regular Season,Trail Blazers,Portland,110.73170731707317,109.84146341463415,,,,,,3741.0,0.0,25.0,0.0,1573.0,2190.0,1.1728395061728396,24.804878048780488,242.1341463414634,45.0,82,9080,9007,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7182648401826484,,37.0,
1980,1610612758,Playoffs,Kings,Kansas City,91.66666666666667,94.86666666666666,,,,,,554.0,0.0,13.0,0.0,254.0,354.0,-1.8571428571428572,23.266666666666666,243.33333333333334,7.0,15,1375,1423,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7175141242937854,,8.0,
1980,1610612758,Regular Season,Kings,Kansas City,106.9390243902439,106.92682926829268,,,,,,3572.0,0.0,49.0,0.0,1576.0,2203.0,0.012195121951219513,25.573170731707318,241.82926829268294,40.0,82,8769,8768,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7153881071266455,,42.0,
1980,1610612759,Playoffs,Spurs,San Antonio,107.71428571428571,109.71428571428571,,,,,,298.0,0.0,2.0,0.0,156.0,209.0,-2.0,24.714285714285715,240.0,3.0,7,754,768,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7464114832535885,,4.0,
