personId,season,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,home,win,numMinutes,points,assists,reboundsTotal,reboundsDefensive,reboundsOffensive,blocks,steals,turnovers,foulsPersonal,plusMinusPoints,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,homeScore,awayScore,attendance
1630322,0,12200025,,Oklahoma City,,,,Pre Season,0,0,25.866666666666667,23,2,3,2,1,0,3,1,3,18,12,7,0.583,9,6,0.667,3,3,1.0,0,0,0
1630322,0,12200038,,Oklahoma City,,,,Pre Season,0,0,27.266666666666666,10,5,6,4,2,0,0,1,1,9,9,3,0.333,9,3,0.333,1,1,1.0,0,0,0
1630322,2021,22100840,2022-02-11 19:00:00,Oklahoma City,Thunder,Philadelphia,76ers,Regular Season,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,100,87,0
1630322,2021,22100852,2022-02-12 20:00:00,Oklahoma City,Thunder,Chicago,Bulls,Regular Season,0,0,3.0,0,0,1,1,0,0,0,0,0,-2,0,0,0.0,0,0,0.0,0,0,0.0,106,101,0
1630322,2021,22100860,2022-02-14 19:30:00,Oklahoma City,Thunder,New York,Knicks,Regular Season,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,123,127,0
1630322,2021,22100881,2022-02-16 20:00:00,Oklahoma City,Thunder,San Antonio,Spurs,Regular Season,1,0,7.0,5,0,0,0,0,0,0,0,2,2,3,2,0.667,2,1,0.5,0,0,0.0,106,114,0
1630322,2021,22100893,2022-02-24 20:00:00,Oklahoma City,Thunder,Phoenix,Suns,Regular Season,1,0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,104,124,0
1630322,2021,22100897,2022-02-25 19:00:00,Oklahoma City,Thunder,Indiana,Pacers,Regular Season,0,1,23.0,8,0,5,5,0,0,1,0,0,-3,8,3,0.375,7,2,0.286,0,0,0.0,125,129,0
1630322,2021,22100925,2022-02-28 20:00:00,Oklahoma City,Thunder,Sacramento,Kings,Regular Season,1,0,17.0,3,0,3,3,0,0,0,0,1,-2,3,1,0.333,3,1,0.333,0,0,0.0,110,131,0
1630322,2021,22100938,2022-03-02 21:00:00,Oklahoma City,Thunder,Denver,Nuggets,Regular Season,0,1,18.0,6,0,1,1,0,0,0,0,3,-7,5,2,0.4,5,2,0.4,0,0,0.0,107,119,0
1630322,2021,22100951,2022-03-04 20:00:00,Oklahoma City,Thunder,Minnesota,Timberwolves,Regular Season,1,0,27.0,5,1,3,3,0,1,0,2,2,-36,9,2,0.222,8,1,0.125,0,0,0.0,101,138,0
1630322,2021,22100965,2022-03-06 19:00:00,Oklahoma City,Thunder,Utah,Jazz,Regular Season,1,0,12.0,6,0,2,2,0,2,0,0,3,7,2,2,1.0,2,2,1.0,0,0,0.0,103,116,0
1630322,2021,22100979,2022-03-08 20:00:00,Oklahoma City,Thunder,Milwaukee,Bucks,Regular Season,1,0,25.0,16,0,3,3,0,0,1,0,0,-12,11,6,0.545,9,4,0.444,0,0,0.0,115,142,0
1630322,2021,22100986,2022-03-09 20:00:00,Oklahoma City,Thunder,Minnesota,Timberwolves,Regular Season,0,0,27.0,8,3,4,4,0,0,1,0,2,-16,12,3,0.25,10,2,0.2,0,0,0.0,132,102,0
1630322,2021,22101018,2022-03-13 19:00:00,Oklahoma City,Thunder,Memphis,Grizzlies,Regular Season,1,0,29.0,16,3,2,2,0,1,2,0,1,6,11,6,0.545,9,4,0.444,0,0,0.0,118,125,0
1630322,2021,22101023,2022-03-14 20:00:00,Oklahoma City,Thunder,Charlotte,Hornets,Regular Season,1,0,24.0,4,2,6,6,0,1,2,1,2,-4,8,2,0.25,6,0,0.0,0,0,0.0,116,134,0
1630322,2021,22101040,2022-03-16 20:30:00,Oklahoma City,Thunder,San Antonio,Spurs,Regular Season,0,0,12.0,0,1,3,3,0,0,2,0,0,1,4,0,0.0,4,0,0.0,0,0,0.0,122,120,0
