personId,season,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,home,win,numMinutes,points,assists,reboundsTotal,reboundsDefensive,reboundsOffensive,blocks,steals,turnovers,foulsPersonal,plusMinusPoints,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,homeScore,awayScore,attendance
386,1991,29100001,1991-11-01 20:00:00,Los Angeles,Clippers,Sacramento,Kings,Regular Season,0,0,9.0,2,2,1,1,0,0,3,6,0,0,1,1,1.0,0,0,0.0,0,0,0.0,94,90,0
386,1991,29100017,1991-11-02 20:00:00,Los Angeles,Clippers,Cleveland,Cavaliers,Regular Season,1,1,9.0,0,0,1,0,1,0,2,3,3,0,1,0,0.0,0,0,0.0,0,0,0.0,106,105,0
386,1991,29100043,1991-11-06 20:00:00,Los Angeles,Clippers,Phoenix,Suns,Regular Season,1,1,5.0,0,2,0,0,0,0,1,1,0,0,2,0,0.0,0,0,0.0,0,0,0.0,111,87,0
386,1991,29100054,1991-11-08 20:00:00,Los Angeles,Clippers,Denver,Nuggets,Regular Season,1,1,3.0,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,106,82,0
386,1991,29100087,1991-11-13 20:00:00,Los Angeles,Clippers,San Antonio,Spurs,Regular Season,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,107,93,0
386,1991,29100095,1991-11-14 20:00:00,Los Angeles,Clippers,Dallas,Mavericks,Regular Season,0,0,12.0,0,3,2,2,0,1,1,1,3,0,2,0,0.0,1,0,0.0,0,0,0.0,95,88,0
386,1991,29100112,1991-11-16 20:00:00,Los Angeles,Clippers,Golden State,Warriors,Regular Season,1,0,14.0,7,3,0,0,0,0,1,2,3,0,4,3,0.75,0,0,0.0,2,1,0.5,105,123,0
386,1991,29100125,1991-11-19 20:00:00,Los Angeles,Clippers,Portland,Trail Blazers,Regular Season,0,0,5.0,0,1,0,0,0,0,0,0,0,0,2,0,0.0,1,0,0.0,0,0,0.0,132,112,0
386,1991,29100138,1991-11-21 20:00:00,Los Angeles,Clippers,Portland,Trail Blazers,Regular Season,1,0,7.0,2,0,2,2,0,0,1,0,1,0,2,1,0.5,0,0,0.0,0,0,0.0,91,106,0
386,1991,29100146,1991-11-22 20:00:00,Los Angeles,Clippers,Phoenix,Suns,Regular Season,0,0,1.0,2,0,1,0,1,0,0,0,0,0,1,1,1.0,0,0,0.0,0,0,0.0,105,97,0
386,1991,29100286,1991-12-14 20:00:00,Charlotte,Hornets,New Jersey,Nets,Regular Season,0,1,11.0,1,1,1,1,0,0,1,2,0,0,1,0,0.0,0,0,0.0,2,1,0.5,102,109,0
386,1991,29100299,1991-12-17 20:00:00,Charlotte,Hornets,Utah,Jazz,Regular Season,1,0,20.0,8,4,2,1,1,0,0,1,1,0,8,4,0.5,0,0,0.0,0,0,0.0,102,122,0
386,1991,29100313,1991-12-18 20:00:00,Charlotte,Hornets,Detroit,Pistons,Regular Season,0,0,18.0,9,2,0,0,0,0,2,2,4,0,6,4,0.667,0,0,0.0,2,1,0.5,117,97,0
386,1991,29100323,1991-12-20 20:00:00,Charlotte,Hornets,Houston,Rockets,Regular Season,1,0,9.0,2,0,1,0,1,0,0,1,2,0,5,1,0.2,0,0,0.0,0,0,0.0,95,99,0
386,1991,29100339,1991-12-21 20:00:00,Charlotte,Hornets,Cleveland,Cavaliers,Regular Season,0,0,19.0,8,6,4,3,1,0,1,2,1,0,4,4,1.0,0,0,0.0,0,0,0.0,120,111,0
386,1991,29100365,1991-12-27 20:00:00,Charlotte,Hornets,New Jersey,Nets,Regular Season,1,0,16.0,7,2,0,0,0,0,0,3,2,0,6,1,0.167,0,0,0.0,6,5,0.832,120,136,0
386,1991,29100375,1991-12-28 20:00:00,Charlotte,Hornets,Washington,Bullets,Regular Season,0,0,19.0,2,5,1,1,0,0,1,0,1,0,2,1,0.5,0,0,0.0,0,0,0.0,129,124,0
386,1991,29100411,1992-01-04 20:00:00,Charlotte,Hornets,Phoenix,Suns,Regular Season,1,1,14.0,7,4,2,1,1,0,0,2,4,0,5,3,0.599,1,1,1.0,0,0,0.0,113,108,0
386,1991,29100440,1992-01-09 20:00:00,Charlotte,Hornets,Sacramento,Kings,Regular Season,1,1,14.0,6,3,1,1,0,1,0,1,2,0,5,2,0.4,0,0,0.0,2,2,1.0,109,96,0
386,1991,29100453,1992-01-11 20:00:00,Charlotte,Hornets,Portland,Trail Blazers,Regular Season,1,0,21.0,5,3,3,1,2,0,2,0,0,0,8,1,0.125,0,0,0.0,4,3,0.75,93,115,0
386,1991,29100477,1992-01-14 20:00:00,Charlotte,Hornets,Seattle,SuperSonics,Regular Season,0,1,6.0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,2,2,1.0,116,117,0
