personId,season,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,home,win,numMinutes,points,assists,reboundsTotal,reboundsDefensive,reboundsOffensive,blocks,steals,turnovers,foulsPersonal,plusMinusPoints,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,homeScore,awayScore,attendance
42570,0,11300009,,Haifa,,,,Pre Season,0,0,15.0,3,0,2,2,0,0,0,1,3,0,3,1,0.333,1,1,1.0,0,0,0.0,0,0,0
42570,0,11300020,,Haifa,,,,Pre Season,0,0,16.0,3,1,4,4,0,0,2,1,0,0,7,1,0.143,2,1,0.5,0,0,0.0,0,0,0
42570,0,11300046,,Haifa,,,,Pre Season,0,0,21.0,2,1,0,0,0,0,0,0,1,0,9,1,0.111,3,0,0.0,0,0,0.0,0,0,0
