personId,season,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,home,win,numMinutes,points,assists,reboundsTotal,reboundsDefensive,reboundsOffensive,blocks,steals,turnovers,foulsPersonal,plusMinusPoints,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,homeScore,awayScore,attendance
202406,2010,11000046,2010-10-12 20:00:00,Oklahoma City,Thunder,Memphis,Grizzlies,Preseason,1,0,6.0,5,0,1,1,0,0,0,2,0,0,2,1,0.5,0,0,0.0,3,3,1.0,96,116,0
202406,2010,11000093,2010-10-19 21:00:00,Oklahoma City,Thunder,Denver,Nuggets,Preseason,0,0,7.0,4,1,1,0,1,0,1,0,2,0,5,2,0.4,1,0,0.0,0,0,0.0,130,115,0
202406,2011,11100022,2011-12-21 20:00:00,New Orleans,Hornets,Memphis,Grizzlies,Preseason,1,1,7.0,5,1,1,1,0,0,1,1,1,0,4,2,0.5,1,1,1.0,0,0,0.0,95,80,0
202406,2011,21100863,2012-04-11 20:00:00,New Orleans,Hornets,Sacramento,Kings,Regular Season,1,1,23.0,3,5,3,3,0,0,1,2,1,7,5,1,0.2,1,0,0.0,3,1,0.333,105,96,0
202406,2011,21100881,2012-04-13 20:00:00,New Orleans,Hornets,Utah,Jazz,Regular Season,1,1,6.0,2,1,0,0,0,0,0,0,0,3,3,1,0.333,1,0,0.0,0,0,0.0,96,85,0
202406,2011,21100900,2012-04-15 19:00:00,New Orleans,Hornets,Memphis,Grizzlies,Regular Season,1,1,12.0,2,2,1,1,0,0,1,3,2,-8,2,1,0.5,0,0,0.0,0,0,0.0,88,75,0
202406,2011,21100903,2012-04-16 19:00:00,New Orleans,Hornets,Charlotte,Bobcats,Regular Season,0,1,14.0,9,0,3,3,0,1,1,2,4,12,5,2,0.4,1,0,0.0,5,5,1.0,67,75,0
202406,2011,21100925,2012-04-18 20:00:00,New Orleans,Hornets,Memphis,Grizzlies,Regular Season,0,0,26.0,24,2,3,3,0,0,3,3,3,13,7,5,0.714,0,0,0.0,16,14,0.875,103,91,0
202406,2011,21100935,2012-04-19 20:00:00,New Orleans,Hornets,Houston,Rockets,Regular Season,1,1,13.0,0,1,4,3,1,0,0,2,3,-7,5,0,0.0,1,0,0.0,0,0,0.0,105,99,0
202406,2011,21100959,2012-04-22 21:30:00,New Orleans,Hornets,Los Angeles,Clippers,Regular Season,0,0,17.0,7,3,2,2,0,0,0,3,1,8,2,2,1.0,1,1,1.0,2,2,1.0,107,98,0
202406,2011,21100970,2012-04-24 22:30:00,New Orleans,Hornets,Golden State,Warriors,Regular Season,0,1,25.0,5,3,1,1,0,0,2,1,2,-8,5,1,0.2,0,0,0.0,4,3,0.75,81,83,0
202406,2011,21100986,2012-04-26 20:00:00,New Orleans,Hornets,Houston,Rockets,Regular Season,0,0,41.0,15,1,2,1,1,1,3,4,3,-19,14,6,0.429,3,0,0.0,6,3,0.5,84,77,0
