personId,season,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,home,win,numMinutes,points,assists,reboundsTotal,reboundsDefensive,reboundsOffensive,blocks,steals,turnovers,foulsPersonal,plusMinusPoints,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,homeScore,awayScore,attendance
1441,0,10700049,,Zalgiris Kaunas,,,,Pre Season,0,0,27.0,11,1,14,9,5,3,0,3,4,0,8,5,0.625,0,0,0.0,1,1,1.0,0,0,0
1441,0,10700057,,Zalgiris Kaunas,,,,Pre Season,0,0,25.0,0,3,8,5,3,3,1,3,6,0,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1441,0,10700071,,Zalgiris Kaunas,,,,Pre Season,0,0,18.0,4,1,3,2,1,2,0,2,4,0,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0
