personId,season,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,home,win,numMinutes,points,assists,reboundsTotal,reboundsDefensive,reboundsOffensive,blocks,steals,turnovers,foulsPersonal,plusMinusPoints,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,homeScore,awayScore,attendance
757,0,10700014,,Memphis,,,,Pre Season,0,0,15.0,3,2,1,0,1,0,0,2,1,0,4,1,0.25,1,0,0.0,2,1,0.5,0,0,0
757,0,10700021,,Memphis,,,,Pre Season,0,0,11.0,6,2,1,0,1,0,0,1,0,0,5,3,0.6,2,0,0.0,0,0,0.0,0,0,0
757,1995,29500012,1995-11-03 20:00:00,Toronto,Raptors,New Jersey,Nets,Regular Season,1,1,38.0,10,10,3,3,0,0,3,2,3,0,14,4,0.285,3,0,0.0,2,2,1.0,94,79,0
757,1995,29500017,1995-11-04 20:00:00,Toronto,Raptors,Indiana,Pacers,Regular Season,0,0,43.0,26,11,6,4,2,0,1,2,2,0,23,7,0.303,4,0,0.0,12,12,1.0,97,89,0
757,1995,29500035,1995-11-07 20:00:00,Toronto,Raptors,Chicago,Bulls,Regular Season,0,0,43.0,22,10,6,6,0,0,3,5,2,0,15,8,0.533,6,3,0.5,3,3,1.0,117,108,0
757,1995,29500046,1995-11-08 20:00:00,Toronto,Raptors,Sacramento,Kings,Regular Season,1,0,37.0,8,2,5,1,4,0,0,3,3,0,12,3,0.25,2,0,0.0,2,2,1.0,90,109,0
757,1995,29500065,1995-11-10 20:00:00,Toronto,Raptors,Phoenix,Suns,Regular Season,1,0,41.0,22,7,3,2,1,0,0,2,2,0,14,9,0.643,4,1,0.25,3,3,1.0,108,112,0
757,1995,29500070,1995-11-11 20:00:00,Toronto,Raptors,Charlotte,Hornets,Regular Season,0,0,41.0,12,1,6,5,1,2,0,3,4,0,9,3,0.333,0,0,0.0,6,6,1.0,123,117,0
757,1995,29500080,1995-11-13 20:00:00,Toronto,Raptors,Utah,Jazz,Regular Season,1,0,37.0,7,9,6,5,1,0,0,6,4,0,11,3,0.273,3,0,0.0,2,1,0.5,100,103,0
757,1995,29500096,1995-11-15 20:00:00,Toronto,Raptors,Houston,Rockets,Regular Season,1,0,44.0,20,9,5,5,0,0,3,6,4,0,21,7,0.333,5,3,0.599,3,3,1.0,93,96,0
757,1995,29500111,1995-11-17 20:00:00,Toronto,Raptors,Minnesota,Timberwolves,Regular Season,1,1,43.0,20,13,7,6,1,0,1,2,3,0,9,5,0.556,2,1,0.5,12,9,0.75,114,96,0
757,1995,29500115,1995-11-18 20:00:00,Toronto,Raptors,Washington,Bullets,Regular Season,0,1,42.0,23,10,4,3,1,0,3,6,1,0,17,8,0.47,5,2,0.4,6,5,0.832,102,103,0
757,1995,29500135,1995-11-21 20:00:00,Toronto,Raptors,Seattle,SuperSonics,Regular Season,1,1,44.0,20,11,12,12,0,0,4,6,4,0,17,6,0.352,9,3,0.333,6,5,0.832,102,97,0
757,1995,29500146,1995-11-22 20:00:00,Toronto,Raptors,Milwaukee,Bucks,Regular Season,0,0,45.0,7,9,5,4,1,0,2,5,2,0,11,3,0.273,2,0,0.0,3,1,0.333,96,86,0
757,1995,29500161,1995-11-25 20:00:00,Toronto,Raptors,Atlanta,Hawks,Regular Season,0,0,40.0,11,9,3,3,0,0,1,2,1,0,11,4,0.363,3,0,0.0,4,3,0.75,114,102,0
757,1995,29500175,1995-11-27 20:00:00,Toronto,Raptors,Golden State,Warriors,Regular Season,1,1,39.0,18,10,2,2,0,1,2,3,3,0,15,7,0.467,5,2,0.4,3,2,0.667,101,98,0
757,1995,29500183,1995-11-28 20:00:00,Toronto,Raptors,Cleveland,Cavaliers,Regular Season,0,0,35.0,18,4,0,0,0,0,3,5,2,0,12,6,0.5,3,2,0.667,4,4,1.0,93,89,0
757,1995,29500201,1995-12-01 20:00:00,Toronto,Raptors,Philadelphia,76ers,Regular Season,1,1,32.0,15,10,2,2,0,0,0,4,4,0,9,2,0.222,2,1,0.5,12,10,0.832,105,102,0
757,1995,29500218,1995-12-03 20:00:00,Toronto,Raptors,Miami,Heat,Regular Season,1,0,47.0,13,15,4,3,1,0,1,5,2,0,17,6,0.352,5,0,0.0,2,1,0.5,94,112,0
757,1995,29500227,1995-12-05 20:00:00,Toronto,Raptors,Seattle,SuperSonics,Regular Season,0,0,30.0,10,5,3,1,2,0,1,2,2,0,10,3,0.299,2,1,0.5,4,3,0.75,119,89,0
757,1995,29500243,1995-12-07 20:00:00,Toronto,Raptors,Portland,Trail Blazers,Regular Season,0,0,40.0,15,10,4,4,0,1,1,3,2,0,15,6,0.4,4,1,0.25,2,2,1.0,96,88,0
757,1995,29500246,1995-12-08 20:00:00,Toronto,Raptors,Los Angeles,Lakers,Regular Season,0,0,44.0,20,10,3,2,1,0,1,4,4,0,13,6,0.462,5,4,0.8,4,4,1.0,120,103,0
757,1995,29500271,1995-12-10 20:00:00,Toronto,Raptors,Vancouver,Grizzlies,Regular Season,0,1,41.0,24,8,7,6,1,1,0,5,3,0,13,9,0.691,2,1,0.5,5,5,1.0,81,93,0
757,1995,29500275,1995-12-12 20:00:00,Toronto,Raptors,Boston,Celtics,Regular Season,1,0,40.0,18,9,4,4,0,1,1,4,3,0,18,7,0.389,2,1,0.5,3,3,1.0,96,116,0
757,1995,29500292,1995-12-14 20:00:00,Toronto,Raptors,Indiana,Pacers,Regular Season,1,0,42.0,13,13,3,2,1,0,1,3,1,0,11,4,0.363,5,1,0.2,6,4,0.667,100,102,0
757,1995,29500302,1995-12-15 20:00:00,Toronto,Raptors,Boston,Celtics,Regular Season,0,0,38.0,15,7,2,2,0,0,1,5,4,0,14,6,0.428,2,1,0.5,4,2,0.5,122,103,0
757,1995,29500313,1995-12-17 20:00:00,Toronto,Raptors,Orlando,Magic,Regular Season,1,1,45.0,21,10,5,5,0,0,1,1,1,0,14,7,0.5,6,1,0.167,7,6,0.856,110,93,0
757,1995,29500325,1995-12-19 20:00:00,Toronto,Raptors,Detroit,Pistons,Regular Season,1,0,47.0,19,8,5,4,1,0,0,5,1,0,19,9,0.473,3,1,0.333,0,0,0.0,82,94,0
757,1995,29500345,1995-12-22 20:00:00,Toronto,Raptors,Chicago,Bulls,Regular Season,0,0,45.0,20,13,8,4,4,0,0,2,0,0,19,7,0.367,5,2,0.4,4,4,1.0,113,104,0
757,1995,29500365,1995-12-23 20:00:00,Toronto,Raptors,New York,Knicks,Regular Season,0,0,42.0,25,8,4,4,0,0,2,4,3,0,16,10,0.625,4,1,0.25,6,4,0.667,103,91,0
757,1995,29500377,1995-12-26 20:00:00,Toronto,Raptors,Milwaukee,Bucks,Regular Season,1,1,43.0,21,11,4,3,1,0,1,4,4,0,14,6,0.428,4,2,0.5,9,7,0.778,93,87,0
757,1995,29500386,1995-12-28 20:00:00,Toronto,Raptors,Detroit,Pistons,Regular Season,0,0,43.0,27,7,6,3,3,0,3,4,0,0,20,9,0.45,5,3,0.599,7,6,0.856,113,91,0
757,1995,29500421,1996-01-03 20:00:00,Toronto,Raptors,Orlando,Magic,Regular Season,0,0,46.0,23,13,3,2,1,0,2,1,2,0,16,9,0.562,6,3,0.5,3,2,0.667,121,110,0
757,1995,29500430,1996-01-04 20:00:00,Toronto,Raptors,Atlanta,Hawks,Regular Season,0,0,48.0,19,10,5,5,0,1,1,7,4,0,17,7,0.411,5,2,0.4,6,3,0.5,104,101,0
757,1995,29500456,1996-01-09 20:00:00,Toronto,Raptors,Charlotte,Hornets,Regular Season,1,0,46.0,20,8,5,2,3,0,1,4,2,0,22,8,0.363,6,4,0.667,2,0,0.0,91,92,0
757,1995,29500474,1996-01-11 20:00:00,Toronto,Raptors,Atlanta,Hawks,Regular Season,1,0,40.0,18,9,5,3,2,0,5,7,2,0,15,6,0.4,4,1,0.25,7,5,0.713,79,87,0
757,1995,29500497,1996-01-13 20:00:00,Toronto,Raptors,Washington,Bullets,Regular Season,1,1,43.0,29,11,3,2,1,0,0,5,2,0,22,12,0.545,4,3,0.75,2,2,1.0,106,100,0
757,1995,29500503,1996-01-15 20:00:00,Toronto,Raptors,New Jersey,Nets,Regular Season,0,0,31.0,18,11,3,2,1,0,1,1,4,0,14,6,0.428,5,3,0.599,3,3,1.0,108,83,0
757,1995,29500510,1996-01-16 20:00:00,Toronto,Raptors,Indiana,Pacers,Regular Season,1,0,46.0,29,10,3,3,0,1,3,3,3,0,21,12,0.57,4,2,0.5,4,3,0.75,102,110,0
757,1995,29500523,1996-01-18 20:00:00,Toronto,Raptors,Chicago,Bulls,Regular Season,1,0,48.0,26,12,3,3,0,0,1,6,1,0,22,11,0.5,6,3,0.5,2,1,0.5,89,92,0
757,1995,29500544,1996-01-21 20:00:00,Toronto,Raptors,Boston,Celtics,Regular Season,1,1,42.0,23,9,3,0,3,1,0,5,1,0,27,9,0.333,2,1,0.5,4,4,1.0,97,95,0
757,1995,29500555,1996-01-23 20:00:00,Toronto,Raptors,New Jersey,Nets,Regular Season,1,1,44.0,11,11,4,2,2,2,1,2,1,0,18,4,0.222,4,0,0.0,6,3,0.5,86,79,0
757,1995,29500576,1996-01-25 20:00:00,Toronto,Raptors,Vancouver,Grizzlies,Regular Season,1,0,44.0,22,12,6,5,1,1,1,2,2,0,20,8,0.4,7,3,0.428,4,3,0.75,101,106,0
757,1995,29500587,1996-01-27 20:00:00,Toronto,Raptors,Denver,Nuggets,Regular Season,0,0,41.0,23,5,2,1,1,0,0,2,1,0,22,9,0.408,4,2,0.5,3,3,1.0,93,82,0
757,1995,29500604,1996-01-30 20:00:00,Toronto,Raptors,Sacramento,Kings,Regular Season,0,0,34.0,4,6,4,3,1,1,1,9,3,0,6,0,0.0,4,0,0.0,5,4,0.8,102,75,0
757,1995,29500632,1996-02-02 20:00:00,Toronto,Raptors,Golden State,Warriors,Regular Season,0,0,40.0,25,11,3,3,0,0,3,7,1,0,15,9,0.599,3,2,0.667,6,5,0.832,114,111,0
757,1995,29500633,1996-02-03 20:00:00,Toronto,Raptors,Los Angeles,Clippers,Regular Season,0,1,36.0,25,6,1,1,0,0,1,5,2,0,16,7,0.438,5,2,0.4,10,9,0.9,113,119,0
757,1995,29500652,1996-02-05 20:00:00,Toronto,Raptors,Portland,Trail Blazers,Regular Season,1,0,42.0,16,7,3,3,0,1,1,5,3,0,13,6,0.462,3,2,0.667,2,2,1.0,87,90,0
757,1995,29500663,1996-02-07 20:00:00,Toronto,Raptors,Milwaukee,Bucks,Regular Season,1,0,40.0,12,6,7,6,1,0,2,5,0,0,14,5,0.356,4,0,0.0,2,2,1.0,88,93,0
757,1995,29500678,1996-02-13 20:00:00,Toronto,Raptors,Miami,Heat,Regular Season,0,1,41.0,29,7,6,3,3,0,4,5,2,0,14,7,0.5,3,1,0.333,15,14,0.933,87,98,0
757,1995,29500701,1996-02-15 20:00:00,Toronto,Raptors,Cleveland,Cavaliers,Regular Season,1,0,39.0,8,7,4,3,1,1,2,5,2,0,14,2,0.142,5,1,0.2,3,3,1.0,76,95,0
757,1995,29500714,1996-02-17 20:00:00,Toronto,Raptors,Detroit,Pistons,Regular Season,0,0,39.0,13,9,3,3,0,0,1,4,2,0,18,6,0.333,5,1,0.2,2,0,0.0,108,95,0
757,1995,29500748,1996-02-22 20:00:00,Toronto,Raptors,Utah,Jazz,Regular Season,0,0,37.0,23,6,1,1,0,0,0,2,1,0,14,8,0.57,6,4,0.667,6,3,0.5,102,86,0
757,1995,29500756,1996-02-23 20:00:00,Toronto,Raptors,Phoenix,Suns,Regular Season,0,0,46.0,29,10,1,0,1,0,2,5,4,0,17,10,0.587,8,5,0.625,4,4,1.0,110,105,0
